[[Items	430	
		0	0	0	0	2	0
king cureslime	king cureslimes	1	1	1	1	2	0
hoodlum	hoodlums	1	1	1	1	0	0
hocus chimaera	hocus chimaeras	1	1	1	1	2	0
demonrider	demonriders	1	1	1	1	2	0
killer moth	killer moths	1	1	1	1	2	0
jabberwockee	jabberwockees	1	1	1	1	2	0
silenus	sileni	1	1	1	1	0	0
robo<->robin	robo<->robins	1	1	1	1	2	0
puppet master	puppet masters	1	1	1	1	0	0
death scorpion	death scorpions	1	1	1	1	2	0
jackal ripper	jackal rippers	1	1	1	1	0	0
iron rhino	iron rhinos	1	2	1	1	0	0
dancing flame	dancing flames	1	1	1	1	2	0
blood mummy	blood mummies	1	1	1	1	2	0
phantom swordsman	phantom swordsmen	1	1	1	1	2	0
hacksaurus	hacksauruses	1	1	1	1	2	0
bone baron	bone barons	1	1	1	1	0	0
swingin' hipster	swingin' hipsters	1	1	1	1	0	0
orc king	orc kings	1	2	1	1	0	0
soulspawn	soulspawns	1	1	1	1	2	0
gryphon	gryphons	1	1	1	1	2	0
golem	golems	1	1	1	1	2	0
fallen priest	fallen priests	1	1	1	1	0	0
dead ringer	dead ringers	1	1	1	1	2	0
living statue	living statues	1	1	1	1	0	0
freeze fly	freeze flies	1	1	1	1	0	0
dark slime	dark slimes	1	1	1	1	2	0
frostburn	frostburns	1	1	1	1	2	0
hellhound	hellhounds	1	1	1	1	2	0
troll	trolls	1	1	1	1	0	0
ice queen	ice queens	1	2	1	1	1	0
abominape	abominapes	1	2	1	1	2	0
beelzebuzz	beelzebuzzes	1	1	1	1	0	0
killing machine	killing machines	1	1	1	1	2	0
icikiller	icikillers	1	2	1	1	0	0
shadow	shadows	1	1	1	1	2	0
metal king slime	metal king slimes	1	1	1	1	0	0
frost wyvine	frost wyvines	1	1	1	1	2	0
elysium bird	elysium birds	1	2	1	1	2	0
dragurn	dragurns	1	1	1	1	2	0
smacker	smackers	1	1	1	1	2	0
zombie gladiator	zombie gladiators	1	1	1	1	2	0
stone golem	stone golems	1	1	1	1	2	0
dark condor	dark condors	1	1	1	1	2	0
mucho macho	muchos machos	1	1	1	1	2	0
dark skeleton	dark skeletons	1	1	1	1	2	0
dark macarbour	dark macarbours	1	1	1	1	2	0
tyrantosaurus	tyrantosauruses	1	1	1	1	2	0
demon thunderer	demon thunderers	1	1	1	1	2	0
dark star	dark stars	1	1	1	1	2	0
dark minister	dark ministers	1	1	1	1	2	0
grim rider	grim riders	1	1	1	1	2	0
dark sea<->diva	dark sea<->divas	1	1	1	1	1	0
war gryphon	war gryphons	1	1	1	1	2	0
dark turkey	dark turkeys	1	1	1	1	2	0
heligator	heligators	1	1	1	1	2	0
dark dullahan	dark dullahans	1	1	1	1	2	0
killer croaker	killer croakers	1	1	1	1	2	0
high roller	high rollers	1	1	1	1	2	0
darkodile	darkodiles	1	1	1	1	2	0
cyclops	cyclopes	1	1	1	1	0	0
bloody hand	bloody hands	1	1	1	1	2	0
snapdragon	snapdragons	1	1	1	1	2	0
buffalogre	buffalogres	1	1	1	1	2	0
mohawker	mohawkers	1	1	1	1	2	0
archdemon	archdemons	1	2	1	1	2	0
bobonga	bobongas	1	1	1	1	2	0
caped caperer	caped caperers	1	1	1	1	2	0
claws	claws	1	1	1	1	0	0
boss troll	boss trolls	1	1	1	1	0	0
mimic king	mimic kings	1	1	1	1	0	0
fowlfighter	fowlfighters	1	1	1	1	2	0
dullahan	dullahans	1	1	1	1	2	0
gigantes	giganti	1	1	1	1	0	0
frou<->frou	frou<->frous	1	1	1	1	2	0
stone guardian	stone guardians	1	1	1	1	0	0
wight priest	wight priests	1	1	1	1	0	0
hell gladiator	hell gladiators	1	1	1	1	2	0
dark slime	dark slimes	1	1	1	1	2	0
shadow	shadows	1	1	1	1	2	0
dark skeleton	dark skeletons	1	1	1	1	2	0
dark condor	dark condors	1	1	1	1	2	0
dark macarbour	dark macarbours	1	1	1	1	2	0
dark turkey	dark turkeys	1	1	1	1	2	0
dark minister	dark ministers	1	1	1	1	2	0
dark dullahan	dark dullahans	1	1	1	1	2	0
dark moth	dark moths	1	1	1	1	2	0
dark star	dark stars	1	1	1	1	2	0
dark gryphon	dark gryphons	1	1	1	1	2	0
darkodile	darkodiles	1	1	1	1	2	0
dark sabrecat	dark sabrecats	1	1	1	1	2	0
hell hopper	hell hoppers	1	1	1	1	2	0
dark devildog	dark devildogs	1	1	1	1	2	0
heavy hood	heavy hoods	1	1	1	1	0	0
hellstalker	hellstalkers	1	1	1	1	2	0
silhouette	silhouettes	1	1	1	1	2	0
democrobot	democrobots	1	1	1	1	2	0
Pandora's box	Pandora's boxes	1	1	1	1	2	0
wight king	wight kings	1	1	1	1	0	0
invisible swordsman	invisible swordsmen	1	2	1	1	0	0
hellspawn	hellspawns	1	1	1	1	2	0
belial	belials	1	1	1	1	2	0
solaris	solari	1	1	1	1	2	0
great troll	great trolls	1	1	1	1	0	0
unholy bishop	unholy bishops	1	2	1	1	0	0
hell's gatekeeper	hell's gatekeepers	1	1	1	1	2	0
crocodog	crocodogs	1	1	1	1	2	0
khalamari kid	khalamari kids	1	1	1	1	2	0
see urchin	see urchins	1	1	1	1	2	0
man o' war	man o' wars	1	1	1	1	2	0
yabby	yabbies	1	1	1	1	2	0
king kelp	king kelps	1	1	1	1	0	0
wild boarfish	wild boarfish	1	1	1	1	2	0
khalamari kid	khalamari kids	1	1	1	1	2	0
see urchin	see urchins	1	1	1	1	2	0
man o' war	man o' wars	1	1	1	1	2	0
anchorman	anchormen	1	2	1	1	2	0
see angel	see angels	1	1	1	1	2	0
squid kid	squid kids	1	1	1	1	2	0
king kelp	king kelps	1	1	1	1	0	0
crayzee	crayzees	1	1	1	1	2	0
eveel	eveels	1	2	1	1	2	0
merman	mermen	1	1	1	1	0	0
king squid	king squids	1	1	1	1	2	0
octavian sentry	octavian sentries	1	2	1	1	0	0
pigmalion	pigmalions	1	1	1	1	2	0
sea dragon	sea dragons	1	1	1	1	2	0
foul anchor	foul anchors	1	1	1	1	2	0
poison eveel	poison eveels	1	1	1	1	2	0
siren	sirens	1	1	1	1	1	0
merking	merkings	1	1	1	1	0	0
seasaur	seasaurs	1	1	1	1	2	0
octavian pirate	octavian pirates	1	2	1	1	0	0
riptide	riptides	1	1	1	1	0	0
tentacular	tentaculars	1	1	1	1	2	0
abyss diver	abyss divers	1	2	1	1	2	0
slime	slimes	1	1	1	1	2	0
firespirit	firespirits	1	1	1	1	2	0
lost soul	lost souls	1	1	1	1	2	0
servant of darkness	servants of darkness	1	1	1	1	2	0
frogface	frogfaces	1	1	1	1	2	0
frogman	frogmen	1	1	1	1	0	0
killer croaker	killer croakers	1	1	1	1	2	0
winky	winkies	1	1	1	1	2	0
pan piper	pan pipers	1	1	1	1	0	0
magic dumbbell Lv. 5	magic dumbbells Lv. 5	1	1	1	1	2	0
dead ringer Lv. 5	dead ringers Lv. 5	1	1	1	1	2	0
high roller	high rollers	1	1	1	1	2	0
skeleton soldier	skeleton soldiers	1	1	1	1	0	0
ghoul	ghouls	1	1	1	1	0	0
anchorman	anchormen	1	2	1	1	2	0
mum	mums	1	1	1	1	2	0
boh	bohs	1	1	1	1	2	0
jum	jums	1	1	1	1	2	0
boe	boes	1	1	1	1	2	0
jab	jabs	1	1	1	1	2	0
ber	bers	1	1	1	1	2	0
kee	kees	1	1	1	1	2	0
woc	wocs	1	1	1	1	2	0
head of state	heads of state	1	1	1	1	2	0
body politic	bodies politic	1	1	1	1	2	0
right wing	right wings	1	1	1	1	2	0
left wing	left wings	1	1	1	1	2	0
jab	jabs	1	1	1	1	2	0
Red Horn	Red Horns	0	0	0	0	0	0
Blue Fang	Blue Fangs	0	0	0	0	0	0
phoenix	phoenixes	1	1	1	1	2	0
night rider	night riders	1	1	1	1	2	0
corpse corporal	corpse corporals	1	1	1	1	2	0
great keeper	great keepers	1	1	1	1	2	0
crème caraslime	crème caraslimes	1	1	1	1	2	0
dead bowdy	dead bowdys	1	1	1	1	2	0
Morrimp	Morrimps	1	1	1	1	2	0
gold nugcat	gold nugcats	1	1	1	1	2	0
cherreevil blossom	cherreevil blossoms	1	1	1	1	2	0
santaclops	santaclopses	1	1	1	1	2	0
box of tricks	boxes of tricks	1	1	1	1	2	0
coffer of death	coffers of death	1	1	1	1	2	0
coffer of death	coffers of death	1	1	1	1	2	0
great keeper	great keepers	1	1	1	1	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
		0	0	0	0	2	0
slime	slimes	1	1	1	1	2	0
slime	slimes	1	1	1	1	2	0
hammerhood	hammerhoods	1	1	1	1	2	0
Geyzer	Geyzers	0	0	0	0	0	0
Mash	Mash	0	0	0	0	0	0
Bangerz	Bangerz	0	0	0	0	0	0
Khalamari	Khalamaris	0	0	0	0	0	0
tortured soul	tortured souls	1	1	1	1	0	0
trap box	trap boxes	1	1	1	1	2	0
Don Mole	Don Moles	0	0	0	0	0	0
sea dragon	sea dragons	1	1	1	1	2	0
Argon lizard	Argon lizards	1	2	1	1	2	0
great Argon lizard	great Argon lizards	1	1	1	1	2	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Dhoulmagus	Dhoulmagus	0	0	0	0	0	0
Evil Jessica	Evil Jessicas	0	0	0	0	1	0
Evil Jessica	Evil Jessicas	0	0	0	0	1	0
shadow	shadows	1	1	1	1	2	0
hellhound	hellhounds	1	1	1	1	2	0
Captain Crow	Captains Crow	0	0	0	0	0	0
Red Horn	Red Horns	0	0	0	0	0	0
Blue Fang	Blue Fangs	0	0	0	0	0	0
Empyrea	Empyreas	0	0	0	0	1	0
Gemon	Gemons	0	0	0	0	0	0
Evil Sir Leopold	Evil Sir Leopolds	0	0	0	0	0	0
Evil Sir Leopold	Evil Sir Leopold	0	0	0	0	0	0
Marcello	Marcello	0	0	0	0	0	0
Marcello	Marcellos	0	0	0	0	0	0
king squid	king squids	1	1	1	1	2	0
boss troll	boss trolls	1	1	1	1	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Rhapthorne	Rhapthorne	0	0	0	0	0	0
Lord of the Dragovians	Lords of the Dragovians	1	8	1	2	0	0
Lord of the Dragovians	Lords of the Dragovians	1	8	1	2	0	0
Lord of the Dragovians	Lords of the Dragovians	1	8	1	2	0	0
Lord of the Dragovians	Lords of the Dragovians	1	8	1	2	0	0
Lord of the Dragovians	Lords of the Dragovians	1	8	1	2	0	0
vermillion dragon	vermillion dragons	1	1	1	1	0	0
vermillion dragon	vermillion dragons	1	1	1	1	0	0
servant of darkness	servants of darkness	1	1	1	1	2	0
statue of <hero>	statues of <hero>	1	1	1	1	0	0
statue of Yangus	statues of Yangus	1	1	1	1	0	0
statue of Jessica	statues of Jessica	1	1	1	1	1	0
statue of Angelo	statues of Angelo	1	1	1	1	0	0
megalodon	megalodons	1	1	1	1	2	0
Ruin	Ruins	0	0	1	1	2	0
soul mole	soul moles	1	1	1	1	0	0
dancing flame	dancing flames	1	1	1	1	2	0
emerald dragon	emerald dragons	1	2	1	1	0	0
emerald dragon	emerald dragons	1	2	1	1	0	0
emerald dragon	emerald dragons	1	2	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
golden dragon	golden dragons	1	1	1	1	0	0
golden dragon	golden dragons	1	1	1	1	0	0
golden dragon	golden dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
emerald dragon	emerald dragons	1	2	1	1	0	0
emerald dragon	emerald dragons	1	2	1	1	0	0
emerald dragon	emerald dragons	1	2	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
silver dragon	silver dragons	1	1	1	1	0	0
golden dragon	golden dragons	1	1	1	1	0	0
golden dragon	golden dragon	1	1	1	1	0	0
golden dragon	golden dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
darksteel dragon	darksteel dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
divine dragon	divine dragons	1	1	1	1	0	0
ultimate dragon	ultimate dragons	1	2	1	1	0	0
ultimate dragon	ultimate dragons	1	2	1	1	0	0
ultimate dragon	ultimate dragons	1	2	1	1	0	0
vermillion dragon	vermillion dragons	1	1	1	1	0	0
vermillion dragon	vermillion dragons	1	1	1	1	0	0
Juggerwroth	Juggerwroths	0	0	1	1	0	0
Juggerwroth	Juggerwroths	0	0	1	1	0	0
Juggerwroth	Juggerwroths	0	0	1	1	0	0
Juggerwroth	Juggerwroths	0	0	1	1	0	0
Geyzer in Memoriam	Geyzers in Memoriam	0	0	1	1	0	0
Tortured Soul in Mem.	Tortured Souls in Mem.	1	1	1	1	0	0
Skeleton in Memoriam	Skeletons in Memoriam	1	1	1	1	2	0
Walking Corpse in Mem.	Walking Corpses in Mem.	1	1	1	1	2	0
Trap Box in Memoriam	Trap Boxes in Memoriam	1	1	1	1	2	0
Don Mole in Memoriam	Don Moles in Memoriam	0	0	1	1	0	0
Soul Mole in Memoriam	Soul Moles in Memoriam	0	0	1	1	2	0
Argon Lizard in Mem.	Argon Lizards in Mem.	0	0	1	1	2	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Dhoulmagus in Mem.	Dhoulmaguses in Mem.	0	0	1	1	0	0
Evil Jessica in Mem.	Evil Jessicas in Mem.	0	0	1	1	1	0
Evil Jessica in Mem.	Evil Jessicas in Mem.	0	0	1	1	1	0
Shadow in Memoriam	Shadows in Memoriam	1	1	1	1	2	0
Captain Crow in Mem.	Captain Crows in Mem.	0	0	1	1	0	0
Gemon in Memoriam	Gemons in Memoriam	0	0	1	1	0	0
Darkbird in Memoriam	Darkbirds in Memoriam	1	1	1	1	2	0
Dark Turkey in Mem.	Dark Turkeys in Mem.	1	1	1	1	2	0
Sir Leopold in Mem.	Sir Leopolds in Mem.	0	0	1	1	0	0
Sir Leopold in Mem.	Sir Leopolds in Mem.	0	0	1	1	0	0
Marcello in Memoriam	Marcellos in Memoriam	0	0	1	1	0	0
Marcello in Memoriam	Marcellos in Memoriam	0	0	1	1	0	0
Dark Servant in Mem.	Dark Servants in Mem.	1	1	1	1	2	0
Dancing Flame in Mem.	Dancing Flames in Mem.	1	1	1	1	2	0
Ruin in Memoriam	Ruins in Memoriam	0	0	1	1	2	0
Estark	Estarks	0	0	1	1	0	0
Estark	Estarks	0	0	1	1	0	0
Estark	Estarks	0	0	1	1	0	0
Estark	Estarks	0	0	1	1	0	0
[[Actions	864	
N/A	N/A	0	0	0	0	2	0
REGULAR ATTACK	REGULAR ATTACK	0	0	0	0	2	0
WHIP REGULAR ATTACK	WHIP REGULAR ATTACK	0	0	0	0	2	0
Megawhip	Megawhip	1	1	0	0	2	0
Group Flail	Group Flail	1	1	0	0	2	0
Megaflail	Megaflail	1	1	0	0	2	0
BOOMERANG REGULAR ATTACK	BOOMERANG REGULAR ATTACK	0	0	0	0	2	0
Frizz	Frizz	0	0	0	0	2	0
Frizzle	Frizzle	0	0	0	0	2	0
Kafrizzle	Kafrizzle	0	0	0	0	2	0
Sizz	Sizz	0	0	0	0	2	0
Sizzle	Sizzle	0	0	0	0	2	0
Kasizzle	Kasizzle	0	0	0	0	2	0
Bang	Bang	0	0	0	0	2	0
Boom	Boom	0	0	0	0	2	0
Kaboom	Kaboom	0	0	0	0	2	0
Woosh	Woosh	0	0	0	0	2	0
Swoosh	Swoosh	0	0	0	0	2	0
Kaswoosh	Kaswoosh	0	0	0	0	2	0
Crack	Crack	0	0	0	0	2	0
Crackle	Crackle	0	0	0	0	2	0
Kacrackle	Kacrackle	0	0	0	0	2	0
Zap	Zap	0	0	0	0	2	0
Kazap	Kazap	0	0	0	0	2	0
Whack	Whack	0	0	0	0	2	0
Whack	Whack	0	0	0	0	2	0
Thwack	Thwack	0	0	0	0	2	0
Thwack	Thwack	0	0	0	0	2	0
Kathwack	Kathwack	0	0	0	0	2	0
Kathwack	Kathwack	0	0	0	0	2	0
Pearly Gates	Pearly Gates	1	1	0	0	2	0
Magic Burst	Magic Burst	1	1	0	0	2	0
Magic Burst II	Magic Burst II	1	1	0	0	2	0
Kamikazee	Kamikazee	0	0	0	0	2	0
Kamikazee	Kamikazee	0	0	0	0	2	0
Snooze	Snooze	0	0	0	0	2	0
Snooze	Snooze	0	0	0	0	2	0
Kasnooze	Kasnooze	0	0	0	0	2	0
Kasnooze	Kasnooze	0	0	0	0	2	0
Dazzle	Dazzle	0	0	0	0	2	0
Dazzle	Dazzle	0	0	0	0	2	0
Fizzle	Fizzle	0	0	0	0	2	0
Fizzle	Fizzle	0	0	0	0	2	0
Fuddle	Fuddle	0	0	0	0	2	0
Fuddle	Fuddle	0	0	0	0	2	0
Kafuddle	Kafuddle	1	1	0	0	2	0
Kafuddle	Kafuddle	0	0	0	0	2	0
Drain Magic	Drain Magic	0	0	0	0	2	0
Bounce	Bounce	0	0	0	0	2	0
Sap	Sap	0	0	0	0	2	0
Sap	Sap	0	0	0	0	2	0
Kasap	Kasap	0	0	0	0	2	0
Kasap	Kasap	0	0	0	0	2	0
Buff	Buff	0	0	0	0	2	0
Buff	Buff	0	0	0	0	2	0
Buff	Buff	0	0	0	0	2	0
Kabuff	Kabuff	0	0	0	0	2	0
Acceleratle	Acceleratle	0	0	0	0	2	0
Deceleratle	Deceleratle	0	0	0	0	2	0
Deceleratle	Deceleratle	0	0	0	0	2	0
Insulatle	Insulatle	0	0	0	0	2	0
Oomph	Oomph	0	0	0	0	2	0
Heal	Heal	0	0	0	0	2	0
Heal	Heal	0	0	0	0	2	0
Heal	Heal	0	0	0	0	2	0
Midheal	Midheal	0	0	0	0	2	0
Midheal	Midheal	0	0	0	0	2	0
Midheal	Midheal	0	0	0	0	2	0
Fullheal	Fullheal	0	0	0	0	2	0
Fullheal	Fullheal	0	0	0	0	2	0
Fullheal	Fullheal	0	0	0	0	2	0
Multiheal	Multiheal	0	0	0	0	2	0
Omniheal	Omniheal	0	0	0	0	2	0
Zing	Zing	0	0	0	0	2	0
Kazing	Kazing	0	0	0	0	2	0
Kerplunk	Kerplunk	0	0	0	0	2	0
Squelch	Squelch	0	0	0	0	2	0
Tingle	Tingle	0	0	0	0	2	0
Magic Barrier	Magic Barrier	1	1	0	0	2	0
Zoom	Zoom	0	0	0	0	2	0
Evac	Evac	1	1	0	0	2	0
Blasto	Blasto	1	1	0	0	2	0
Holy Protection	Holy Protection	1	1	0	0	2	0
Safe Passage	Safe Passage	1	1	0	0	2	0
DUMMY_IMPAS	DUMMY_IMPAS	0	0	0	0	2	0
Padfoot	Padfoot	1	1	0	0	2	0
Share Magic	Share Magic	0	0	0	0	2	0
Ban Dance	Ban Dance	1	1	0	0	2	0
Divine Intervention	Divine Intervention	1	1	0	0	2	0
Pearly Gates	Pearly Gates	0	0	0	0	2	0
CONFUSE REGULAR ATTACK	CONFUSE REGULAR ATTACK	0	0	0	0	2	0
CONFUSE REGULAR ATTACK	CONFUSE REGULAR ATTACK	0	0	0	0	2	0
Meditation	Meditation	1	1	0	0	2	0
Defending Champion	Defending Champion	1	1	0	0	2	0
Weird Dance	Weird Dance	1	1	0	0	2	0
Weird Dance	Weird Dance	1	1	0	0	2	0
Weird Dance	Weird Dance	1	1	0	0	2	0
Sultry Dance	Sultry Dance	1	1	0	0	2	0
Death Dance	Death Dance	1	1	0	0	2	0
Hustle Dance	Hustle Dance	1	1	0	0	2	0
Kerplunk Dance	Kerplunk Dance	1	1	0	0	2	0
Fuddle Dance	Fuddle Dance	1	1	0	0	2	0
Last Dance	Last Dance	0	1	0	0	2	0
Underpants Dance	Underpants Dance	1	2	0	0	2	0
Underpants Dance	Underpants Dance	0	0	0	0	2	0
Sweet Breath	Sweet Breath	1	1	0	0	2	0
Poison Breath	Poison Breath	1	1	0	0	2	0
Venom Mist	Venom Mist	1	1	0	0	2	0
Burning Breath	Burning Breath	1	1	0	0	2	0
Burning Breath	Burning Breath	1	1	0	0	2	0
Sandstorm	Sandstorm	1	1	0	0	2	0
Sandstorm	Sandstorm	1	1	0	0	2	0
Dazzleflash	Dazzleflash	1	1	0	0	2	0
Warcry	Warcry	1	1	0	0	2	0
Warcry	Warcry	1	1	0	0	2	0
Puff<->Puff	Puff<->Puff	1	1	0	0	2	0
Puff<->Puff	Puff<->Puff	1	1	0	0	2	0
Ice Wave	Ice Wave	1	2	0	0	2	0
Lightning	Lightning	1	1	0	0	2	0
Wind Sickles	Wind Sickles	1	1	0	0	2	0
Thin Air	Thin Air	1	2	0	0	2	0
Fire Breath	Fire Breath	1	1	0	0	2	0
Flame Breath	Flame Breath	1	1	0	0	2	0
Inferno	Inferno	1	2	0	0	2	0
Scorch	Scorch	1	1	0	0	2	0
Cool Breath	Cool Breath	1	1	0	0	2	0
Chilly Breath	Chilly Breath	1	1	0	0	2	0
Cold Blizzard	Cold Blizzard	1	1	0	0	2	0
C-C-Cold Breath	C-C-Cold Breath	1	1	0	0	2	0
Stone's Throw	Stones' Throw	1	1	0	0	2	0
Boulder Toss	Boulder Toss	1	1	0	0	2	0
Lightning Storm	Lightning Storm	1	1	0	0	2	0
Bodyslam	Bodyslam	1	1	0	0	2	0
Direct Thrust	Direct Thrust	1	1	0	0	2	0
Multifists	Multifists	1	1	0	0	2	0
Hatchet Man	Hatchet Man	1	1	0	0	2	0
Falcon Slash	Falcon Slash	1	1	0	0	2	0
Harvest Moon	Harvest Moon	1	1	0	0	2	0
Dragon Slash	Dragon Slash	1	1	0	0	2	0
Metal Slash	Metal Slash	1	1	0	0	2	0
Thunder Slash	Thunder Slash	1	1	0	0	2	0
Flame Slash	Flame Slash	1	1	0	0	2	0
Vacuum Slash	Vacuum Slash	1	1	0	0	2	0
Kacrackle Slash	Kacrackle Slash	1	1	0	0	2	0
Steal Sickle	Steal Sickle	1	1	0	0	2	0
Knuckle Sandwich	Knuckle Sandwich	1	1	0	0	2	0
Gigaslash	Gigaslash	1	1	0	0	2	0
Golden Oldies	Golden Oldies	1	1	0	0	2	0
OFF-TARGET ATTACK	OFF-TARGET ATTACK	0	0	0	0	2	0
Supersize Slime	Supersize Slime	1	1	0	0	2	0
SORROW ATTACK 1	SORROW ATTACK 1	0	0	0	0	2	0
SORROW ATTACK 2	SORROW ATTACK 2	0	0	0	0	2	0
SLEEP ATTACK	SLEEP ATTACK	0	0	0	0	2	0
POISON ATTACK	POISON ATTACK	0	0	0	0	2	0
PARALYSIS ATTACK	PARALYSIS ATTACK	0	0	0	0	2	0
CONFUSE ATTACK	CONFUSE ATTACK	0	0	0	0	2	0
Mini Explosion	Mini Explosion	1	1	0	0	2	0
100% Paralysis	100% Paralysis	1	1	0	0	2	0
Warcry II	Warcry II	1	1	0	0	2	0
100% Sleep	100% Sleep	1	1	0	0	2	0
Clutch II	Clutch II	1	1	0	0	2	0
Full MP Restore	Full MP Restore	1	1	0	0	2	0
Whistle	Whistle	0	0	0	0	2	0
Mercurial Thrust	Mercurial Thrust	1	1	0	0	2	0
Leg Sweep	Leg Sweep	1	1	0	0	2	0
Nose for Treasure	Nose for Treasure	1	1	0	0	2	0
Call Team	Call Team	1	1	0	0	2	0
Multishot	Multishot	1	1	0	0	2	0
Needle Shot	Needle Shot	1	1	0	0	2	0
Parallax	Parallax	1	1	0	0	2	0
Heart Breaker	Heart Breaker	1	1	0	0	2	0
Axes of Evil	Axes of Evil	1	2	0	0	2	0
Big Banga	Big Banga	1	1	0	0	2	0
Miracle Slash	Miracle Slash	1	1	0	0	2	0
Clean Sweep	Clean Sweep	1	1	0	0	2	0
Crosscutter Throw	Crosscutter Throw	1	1	0	0	2	0
Power Throw	Power Throw	1	1	0	0	2	0
Starburst Throw	Starburst Throw	1	1	0	0	2	0
Firebird Throw	Firebird Throw	1	1	0	0	2	0
Gigathrow	Gigathrow	1	1	0	0	2	0
